3, 1024
190149.065671, 1648355.696888, 5000.000000
195395.677403, 362804.242487, 5000.000000
609208.645194, 1000000.000000, 5000.000000
195395.677403, 1637195.757513, 5000.000000
200808.157618, 374470.399318, 5000.000000
598383.684764, 1000000.000000, 5000.000000
200808.157618, 1625529.600682, 5000.000000
206399.460402, 386697.368823, 5000.000000
587201.079197, 1000000.000000, 5000.000000
206399.460402, 1613302.631177, 5000.000000
212184.169288, 399549.244349, 5000.000000
575631.661423, 1000000.000000, 5000.000000
212184.169288, 1600450.755651, 5000.000000
218178.779179, 413101.967172, 5000.000000
563642.441642, 1000000.000000, 5000.000000
218178.779179, 1586898.032828, 5000.000000
224402.038570, 427446.452854, 5000.000000
551195.922859, 1000000.000000, 5000.000000
224402.038570, 1572553.547146, 5000.000000
230875.365993, 442692.824756, 5000.000000
538249.268015, 1000000.000000, 5000.000000
230875.365993, 1557307.175244, 5000.000000
237623.356543, 458976.262575, 5000.000000
524753.286914, 1000000.000000, 5000.000000
237623.356543, 1541023.737425, 5000.000000
244674.394590, 476465.269163, 5000.000000
510651.210821, 1000000.000000, 5000.000000
244674.394590, 1523534.730837, 5000.000000
252061.383263, 495373.669265, 5000.000000
495877.233473, 1000000.000000, 5000.000000
252061.383263, 1504626.330735, 5000.000000
259822.580530, 515978.573948, 5000.000000
480354.838940, 1000000.000000, 5000.000000
259822.580530, 1484021.426052, 5000.000000
268002.470067, 538648.288093, 5000.000000
463995.059866, 1000000.000000, 5000.000000
268002.470067, 1461351.711907, 5000.000000
276652.423757, 563887.645453, 5000.000000
446695.152485, 1000000.000000, 5000.000000
276652.423757, 1436112.354547, 5000.000000
285830.430906, 592415.843102, 5000.000000
428339.138189, 1000000.000000, 5000.000000
285830.430906, 1407584.156898, 5000.000000
295597.740675, 625309.829022, 5000.000000
408804.518649, 1000000.000000, 5000.000000
295597.740675, 1374690.170978, 5000.000000
306005.602017, 664294.258696, 5000.000000
387988.795966, 1000000.000000, 5000.000000
306005.602017, 1335705.741304, 5000.000000
317047.618143, 712409.236098, 5000.000000
365904.763714, 1000000.000000, 5000.000000
317047.618143, 1287590.763902, 5000.000000
328468.491603, 775881.628680, 5000.000000
343063.016793, 1000000.000000, 5000.000000
328468.491603, 1224118.371320, 5000.000000
338705.880177, 871495.613015, 5000.000000
322588.239647, 1000000.000000, 5000.000000
338705.880177, 1128504.386985, 5000.000000
345107.795559, 974126.164896, 5000.000000
309784.408882, 1000000.000000, 5000.000000
345107.795559, 1025873.835104, 5000.000000
348308.753250, 1040521.555452, 5000.000000
303382.493499, 1000000.000000, 5000.000000
348308.753250, 959478.444548, 5000.000000
349909.232096, 1073719.250730, 5000.000000
300181.535808, 1000000.000000, 5000.000000
349909.232096, 926280.749270, 5000.000000
350709.471519, 1090318.098369, 5000.000000
298581.056962, 1000000.000000, 5000.000000
350709.471519, 909681.901631, 5000.000000
351109.591230, 1037562.558623, 5000.000000
297780.817539, 1000000.000000, 5000.000000
351109.591230, 962437.441377, 5000.000000
351309.651086, 980657.306967, 5000.000000
297380.697828, 1000000.000000, 5000.000000
351309.651086, 1019342.693033, 5000.000000
351409.681014, 952204.681139, 5000.000000
297180.637972, 1000000.000000, 5000.000000
351409.681014, 1047795.318861, 5000.000000
351459.695978, 937978.368226, 5000.000000
297080.608044, 1000000.000000, 5000.000000
351459.695978, 1062021.631774, 5000.000000
351484.703460, 930865.211769, 5000.000000
297030.593080, 1000000.000000, 5000.000000
351484.703460, 1069134.788231, 5000.000000
